Part,Value,Device,Package,Description
P00,,LED5MM,LED5MM,LED
P01,,LED5MM,LED5MM,LED
P02,,LED5MM,LED5MM,LED
P03,,LED5MM,LED5MM,LED
P10,,LED5MM,LED5MM,LED
P11,,LED5MM,LED5MM,LED
P12,,LED5MM,LED5MM,LED
P13,,LED5MM,LED5MM,LED
P20,,LED5MM,LED5MM,LED
P21,,LED5MM,LED5MM,LED
P22,,LED5MM,LED5MM,LED
P23,,LED5MM,LED5MM,LED
P30,,LED5MM,LED5MM,LED
P31,,LED5MM,LED5MM,LED
P32,,LED5MM,LED5MM,LED
P33,,LED5MM,LED5MM,LED
R1,220,R-EU_0207/10,0207/10,"RESISTOR, European symbol"
R2,220,R-EU_0207/10,0207/10,"RESISTOR, European symbol"
R3,220,R-EU_0207/10,0207/10,"RESISTOR, European symbol"
R4,220,R-EU_0207/10,0207/10,"RESISTOR, European symbol"
X1,Col,ML6D,ML-6,
X2,Row,ML6D,ML-6,
