Part,Value,Device,Package,Description
C1,1u,CPOL-EUE2-5,E2-5,"POLARIZED CAPACITOR, European symbol"
C2,10u,CPOL-EUE2-5,E2-5,"POLARIZED CAPACITOR, European symbol"
C3,100n,C-EU050-025X075,C050-025X075,"CAPACITOR, European symbol"
IC1,74HC14N,74HC14N,DIL14,Hex schmitt trigger INVERTER
JP1,Frequency,JP4Q,JP4Q,
P1,,LED3MM,LED3MM,LED
R2,22k,R-EU_0207/10,0207/10,"RESISTOR, European symbol"
R3,10k,R-EU_0207/10,0207/10,"RESISTOR, European symbol"
R4,10k,R-EU_0207/10,0207/10,"RESISTOR, European symbol"
R5,100k,R-EU_0207/10,0207/10,"RESISTOR, European symbol"
R6,10k,R-EU_0207/10,0207/10,"RESISTOR, European symbol"
R7,1k,R-EU_0207/10,0207/10,"RESISTOR, European symbol"
R8,100R,R-EU_0207/10,0207/10,"RESISTOR, European symbol"
R10,220R,R-EU_0207/10,0207/10,"RESISTOR, European symbol"
S1,Reset,10-XX,B3F-10XX,OMRON SWITCH
X1,Out,ML6C,ML-6,
